Viscosita_100,TBN_basic,TAN_acid,ipH,Ossidazione,IR,Sodio,Glicole,Silicio,Ferro,Alluminio,Cromo,Rame,Stagno,Piombo,EndCharge
15.4,3.5,1.85,4.8,9.0,2.0,2.0,0.0007890759873360803,12.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0
14.6,5.9,1.32,6.5,7.0,2.0,2.0,0.010530379293914385,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
15.1,5.4,1.49,6.3,11.0,2.0,1.0,0.03049068417961293,12.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
15.3,5.3,1.59,5.7,9.0,3.0,2.0,0.02183782008172858,15.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0
14.1,7.9,0.77,7.8,6.0,1.0,1.0,0.00419959036937533,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,4.9,1.53,6.2,6.3,3.1,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
14.3,2.3,1.96,6.749730225342135,11.7,4.2,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
14.1,4.2,1.46,6.96286694981866,6.3,2.3,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.8,3.7,1.74,6.2,9.5,4.9,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
14.4,3.2,1.96,4.767366652986058,9.7,4.5,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.7,2.1,2.3,5.221910858708481,13.3,6.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
13.9,5.0,1.27,7.1,6.4,2.4,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.6,4.7,1.76,6.6,9.1,4.5,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.8,3.8,2.23,5.9,14.0,7.4,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
15.2,6.8,2.09,6.1,7.0,1.0,1.0,0.01390605121615739,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
15.7,4.7,2.22,6.0,9.0,2.0,0.0,0.05649885511179184,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
16.4,0.0,2.65,0.0,13.0,4.0,1.0,0.005223797952999593,5.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0
15.6,4.4,2.62,5.5,12.0,2.0,1.0,0.022485626331279495,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
15.6,0.0,2.83,4.7,14.0,3.0,1.0,0.024259502942014604,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
15.8,0.0,2.96,0.0,14.0,4.0,1.0,0.017061182874215573,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,2.92,0.0,17.0,5.0,0.0,0.013624865304632524,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
15.9,5.1,2.51,5.5,12.0,2.0,1.0,0.014094529530134653,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
15.4,5.2,2.41,5.6,12.0,2.0,1.0,0.013472140969107762,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
15.3,4.6,2.6,5.3,14.0,2.0,1.0,0.017806195217542956,2.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0
14.7,5.7,2.46,6.0,8.0,2.0,1.0,0.007754950307303568,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
15.2,4.4,0.0,5.3,10.0,3.0,2.0,0.010578713583363663,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0
14.7,4.9,2.59,5.7,10.0,2.0,1.0,0.025127949856017944,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
14.9,5.1,2.57,6.0,9.0,3.0,16.0,0.02917037355348043,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
14.7,4.7,0.0,5.9,6.0,1.0,2.0,0.016873581621796325,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0
14.8,4.5,2.87,5.6,9.0,2.0,2.0,0.017790851321308178,2.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0
14.7,2.7,2.0,6.1006377264783005,11.0,1.9,4.0,0.1,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
13.3,7.1,1.9,6.7,0.0,0.0,1.0,0.028893494432642896,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
13.9,5.9,2.8,5.3,8.7,1.53,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
13.8,4.7,2.0,6.2,8.6,1.3,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0
13.7,4.9,1.8,7.2,7.1,1.17,1.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0
13.8,4.5,2.6,5.5,8.4,1.59,2.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0
13.7,4.7,1.2,8.3,7.7,0.9,0.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0
14.8,4.7,2.4,6.019826616286069,11.3,6.9,0.0,0.03154127614166605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,5.4,1.4,5.029995060980829,9.9,5.5,0.0,0.032591072798747574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.6,5.6,1.8,5.5222890311210895,9.7,13.9,0.0,0.03015224751748904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.6,5.3,2.4,5.021585253038087,9.2,13.8,0.0,0.01348064807266813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
14.6,5.9,2.2,5.7640792212875525,7.8,10.9,1.0,0.04711771816602237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
